,name,urlid,overall,capHit,pos,SPD,STR,AGI,ACC,AWR,CTH,JMP,STA,INJ,TAK,POW,PWM,FNM,BKS,PUR,PRC,MCV,ZCV,PRS,KPW,KAC,KR,TRK,ELU,BCV,SFA,SPM,JKM,CAR,RTE,CIT,SPC,RLS,THP,TAS,TAM,TAD,TOR,PAC,RBK,PBK,IMP,fights_for_extra_yards,possession_catches,aggressive_catches,rac_catches,sideline_catches,big_hitter,strips_ball,plays_ball_in_air,canAuction
28,LeSean McCoy,27595,95,67,HB,92,66,95,93,94,83,89,92,82,50,39,31,31,42,52,33,34,33,39,32,39,50,78,95,95,82,96,95,92,88,86,82,87,45,51,49,40,40,38,58,63,58,No,No,No,No,No,,,,True
29,John Randle,21494,95,48,DT,82,91,75,88,92,36,73,94,95,92,89,91,95,88,93,92,38,56,36,20,20,15,67,53,62,74,46,42,64,10,34,25,10,20,20,20,15,15,15,45,45,88,,,,,,Yes,No,,True
30,John Randle,21493,95,48,DT,82,91,75,88,92,36,73,94,95,92,89,91,95,88,93,92,38,56,36,20,20,15,67,53,62,74,46,42,64,10,34,25,10,20,20,20,15,15,15,45,45,88,,,,,,Yes,No,,True
31,Larry Fitzgerald,1305017315,95,71,WR,89,74,89,91,94,95,95,95,93,47,28,27,27,48,50,42,33,30,27,33,33,45,77,77,89,84,86,86,78,94,95,94,94,44,40,38,33,40,34,77,53,73,Yes,Yes,Yes,Yes,Yes,,,,False
32,Lavonte David,29507,95,42,ROLB,87,74,87,90,94,82,88,94,94,94,93,81,87,87,95,94,85,92,76,37,35,34,44,43,50,53,43,50,69,37,58,58,46,37,33,34,33,36,34,56,56,91,,,,,,Yes,Yes,Balanced,True
33,LaDainian Tomlinson,120,95,65,HB,92,77,94,94,93,85,91,95,95,25,15,15,15,15,35,35,35,35,15,35,35,78,79,94,93,95,92,91,93,86,79,70,81,62,74,62,48,76,47,51,74,59,Yes,No,No,No,No,,,,False
34,Robbie Gould,23145,95,28,K,60,30,54,64,84,35,26,78,92,38,27,26,26,33,32,31,26,28,26,92,96,30,32,43,32,32,32,35,52,26,26,27,30,43,48,45,43,43,41,32,29,32,,,,,,,,,True
35,Ryan Allen,23146,95,29,P,72,44,62,69,89,45,65,86,94,48,32,31,31,31,31,37,35,42,31,93,96,35,35,42,35,35,36,36,52,34,34,34,37,55,52,53,49,49,47,34,33,33,,,,,,,,,True
36,Julio Jones,28578,95,75,WR,94,75,94,92,90,92,95,92,90,52,33,30,30,51,55,36,36,40,33,40,33,73,75,86,88,85,85,88,80,92,91,95,94,51,36,32,30,35,31,72,60,67,Yes,No,Yes,Yes,Yes,,,,True
37,Kawann Short,28571,95,51,DT,70,88,69,85,94,65,71,85,93,93,84,94,83,95,92,94,54,65,46,42,42,39,53,42,49,50,42,39,62,42,49,49,44,42,39,39,39,41,39,61,61,94,,,,,,No,No,,True
38,Joey Bosa,29504,95,53,RE,83,84,86,88,89,73,80,86,90,89,90,94,96,92,94,89,65,70,58,54,51,45,60,57,61,63,56,58,67,47,62,64,51,56,45,46,45,47,46,59,53,93,,,,,,No,Yes,,True
39,Khalil Mack,29505,95,54,LOLB,88,86,89,90,91,79,94,92,95,95,93,92,96,95,95,91,76,82,70,53,52,47,69,64,69,67,71,69,74,50,75,75,56,58,46,47,46,50,47,63,63,94,,,,,,Yes,Yes,Balanced,True
40,A.J. Bouye,29509,95,57,CB,90,62,92,94,93,83,90,92,87,83,78,71,70,78,86,93,94,95,95,53,53,84,70,86,88,70,89,89,83,59,77,78,63,62,53,53,53,55,53,70,70,79,,,,,,No,Yes,Aggressive,True
41,Ndamukong Suh,29502,95,49,DT,74,96,82,83,91,65,80,92,92,90,92,92,83,91,90,91,55,64,52,68,56,41,49,49,51,49,54,51,62,42,54,53,49,51,40,41,40,42,41,60,60,90,,,,,,Yes,No,,True
42,Harold Carmichael,21503,95,73,WR,93,77,89,95,91,92,95,93,90,48,20,20,20,25,62,25,25,25,20,20,20,36,81,86,88,86,84,88,75,88,92,94,93,35,35,30,25,25,20,78,62,68,Yes,Yes,Yes,Yes,Yes,,,,True
43,Harold Carmichael,21504,95,73,WR,93,77,89,95,91,92,95,93,90,48,20,20,20,25,62,25,25,25,20,20,20,36,81,86,88,86,84,88,75,88,92,94,93,35,35,30,25,25,20,78,62,68,Yes,Yes,Yes,Yes,Yes,,,,True
44,Harold Carmichael,21502,95,73,WR,93,77,89,95,91,92,95,93,90,48,20,20,20,25,62,25,25,25,20,20,20,36,81,86,88,86,84,88,75,88,92,94,93,35,35,30,25,25,20,78,62,68,Yes,Yes,Yes,Yes,Yes,,,,True
45,Marcell Dareus,16,95,52,DT,74,95,72,84,92,60,69,78,92,93,90,92,79,93,93,92,51,59,45,44,44,38,56,39,55,66,38,38,60,41,48,48,44,46,38,38,38,39,38,59,59,93,,,,,,Yes,No,,True
46,Todd Gurley II,28564,95,63,HB,92,72,93,92,90,83,88,92,84,60,56,37,39,54,55,40,37,42,37,41,40,84,85,93,92,89,93,93,92,75,78,80,77,50,53,53,53,50,42,61,75,64,Yes,No,No,No,No,,,,True
47,Cameron Jordan,28557,95,55,RE,80,91,79,86,93,62,70,90,92,94,91,95,85,94,94,93,56,70,53,57,54,42,42,50,52,51,51,54,64,45,56,56,50,54,42,42,42,44,42,63,63,95,,,,,,No,Yes,,True
48,Tom Brady,28508,95,67,QB,66,68,70,70,96,65,47,94,94,56,41,40,40,53,52,46,41,45,40,45,44,44,53,68,70,56,61,69,68,43,43,52,44,92,95,93,90,85,95,54,45,55,,,,,,,,,True
49,Brian Urlacher,21511,95,49,MLB,87,86,89,93,95,76,87,95,89,95,95,84,76,87,96,95,81,88,80,20,20,15,52,50,67,80,58,72,68,25,70,68,35,20,15,15,15,15,15,45,45,88,,,,,,Yes,Yes,Conservative,True
50,Kevin Williams,21557,95,48,DT,78,95,71,86,94,53,78,86,94,92,83,93,75,95,88,94,36,48,23,20,20,15,48,26,23,43,32,31,52,20,50,33,15,20,20,20,15,15,15,45,45,92,,,,,,No,Yes,,True
51,Bo Jackson,27502,95,67,QB,94,93,94,95,93,74,94,96,86,62,40,25,25,40,40,30,25,25,25,64,51,77,93,87,91,93,90,93,90,68,70,63,71,95,87,81,68,97,86,61,69,59,,,,,,,,,True
52,Kevin Williams,21556,95,48,DT,78,95,71,86,94,53,78,86,94,92,83,93,75,95,88,94,36,48,23,20,20,15,48,26,23,43,32,31,52,20,50,33,15,20,20,20,15,15,15,45,45,92,,,,,,No,Yes,,True
53,Kevin Williams,21555,95,48,DT,78,95,71,86,94,53,78,86,94,92,83,93,75,95,88,94,36,48,23,20,20,15,48,26,23,43,32,31,52,20,50,33,15,20,20,20,15,15,15,45,45,92,,,,,,No,Yes,,True
54,Kevin Williams,21554,95,48,DT,78,95,71,86,94,53,78,86,94,92,83,93,75,95,88,94,36,48,23,20,20,15,48,26,23,43,32,31,52,20,50,33,15,20,20,20,15,15,15,45,45,92,,,,,,No,Yes,,True
55,Jalen Ramsey,28515,95,65,CB,93,70,90,94,89,77,94,93,90,83,87,57,60,75,92,89,94,93,93,36,35,78,52,76,73,54,70,76,76,44,64,64,45,42,50,44,41,46,38,45,37,73,,,,,,Yes,Yes,Aggressive,True
56,Shannon Sharpe,21523,95,49,TE,88,86,88,92,92,95,88,94,96,56,33,20,20,46,53,20,20,20,20,20,20,36,89,81,90,94,80,84,87,94,96,90,93,25,20,20,15,15,15,83,68,76,Yes,No,No,No,Yes,,,,True
57,Sean Taylor,50,95,62,FS,92,81,93,95,88,80,95,95,93,90,95,75,86,88,95,88,78,93,80,18,12,56,25,63,83,78,87,88,75,20,68,62,45,32,15,15,15,15,15,45,45,85,,,,,,Yes,Yes,Aggressive,False
58,Steve Young,21481,95,57,QB,86,61,87,92,91,56,84,94,92,43,20,15,15,15,42,20,20,20,20,20,20,15,51,85,90,53,83,82,63,28,36,42,20,90,92,90,86,94,90,20,20,20,,,,,,,,,True
59,Steve Young,21482,95,57,QB,86,61,87,92,91,56,84,94,92,43,20,15,15,15,42,20,20,20,20,20,20,15,51,85,90,53,83,82,63,28,36,42,20,90,92,90,86,94,90,20,20,20,,,,,,,,,True
60,Steve Young,21483,95,57,QB,86,61,87,92,91,56,84,94,92,43,20,15,15,15,42,20,20,20,20,20,20,15,51,85,90,53,83,82,63,28,36,42,20,90,92,90,86,94,90,20,20,20,,,,,,,,,True
61,Steve Young,21484,95,57,QB,86,61,87,92,91,56,84,94,92,43,20,15,15,15,42,20,20,20,20,20,20,15,51,85,90,53,83,82,63,28,36,42,20,90,92,90,86,94,90,20,20,20,,,,,,,,,True
62,Barry Sanders,27001,95,77,HB,95,75,96,96,94,80,90,95,95,50,35,35,22,30,35,35,35,36,15,35,35,80,77,96,95,86,96,96,94,80,78,74,74,40,15,15,15,15,15,60,73,50,No,No,No,No,No,,,,True
63,Jonathan Ogden,21545,95,53,LT,60,95,67,78,93,28,53,92,95,56,63,20,20,25,25,25,20,20,15,20,20,15,43,22,15,34,23,21,42,21,32,18,15,20,20,20,15,15,15,95,94,91,,,,,,,,,True
64,John Randle,21491,95,48,DT,82,91,75,88,92,36,73,94,95,92,89,91,95,88,93,92,38,56,36,20,20,15,67,53,62,74,46,42,64,10,34,25,10,20,20,20,15,15,15,45,45,88,,,,,,Yes,No,,True
65,John Randle,21492,95,48,DT,82,91,75,88,92,36,73,94,95,92,89,91,95,88,93,92,38,56,36,20,20,15,67,53,62,74,46,42,64,10,34,25,10,20,20,20,15,15,15,45,45,88,,,,,,Yes,No,,True
66,Harrison Smith,28550,95,55,SS,88,74,88,91,95,85,87,90,92,87,93,81,69,84,92,95,84,93,81,45,42,36,68,64,52,51,68,64,72,38,70,73,40,45,38,38,38,41,38,58,58,81,,,,,,Yes,No,Aggressive,True
67,Andrew Luck,1305011209,95,64,QB,85,74,85,86,88,75,86,93,90,36,29,28,28,35,37,38,31,35,28,38,40,32,66,77,85,48,77,82,70,58,48,54,41,91,92,89,88,95,90,38,35,31,,,,,,,,,False
68,Micah Hyde,28536,95,53,FS,89,56,91,91,95,85,86,90,92,92,78,67,77,81,96,95,90,94,87,43,42,84,48,77,83,57,77,83,82,48,71,79,45,46,30,31,30,34,31,57,57,76,,,,,,No,No,Aggressive,True
69,Travis Kelce,28522,95,45,TE,86,82,87,88,89,91,92,89,85,64,32,35,35,51,53,32,30,32,28,48,45,35,88,82,88,91,82,88,76,89,91,91,87,72,71,69,64,59,42,84,80,82,Yes,No,Yes,Yes,Yes,,,,True
70,Jack Conklin,28529,95,55,RT,74,88,64,83,93,55,65,88,91,62,50,44,44,52,54,47,43,44,42,46,47,41,50,44,43,44,43,43,58,44,44,44,48,48,40,41,40,43,41,93,95,93,,,,,,,,,True
71,Michael Strahan,27596,95,50,LE,83,95,82,87,93,64,77,91,94,85,85,95,89,94,91,93,43,54,30,20,20,15,63,42,30,62,48,32,50,20,63,54,20,20,15,15,10,15,15,45,45,85,,,,,,No,Yes,,True
72,Night Train Lane,27301,95,65,CB,93,80,92,95,91,80,94,95,93,85,92,62,78,82,94,91,90,94,92,52,54,62,82,84,80,76,84,90,80,45,80,76,60,46,52,44,36,50,31,45,45,82,,,,,,Yes,Yes,Aggressive,True
73,Deshaun Watson,19998,95,57,QB,90,64,92,93,88,45,84,92,87,38,31,26,26,31,37,30,27,31,26,32,32,35,53,82,78,58,75,82,68,32,37,36,35,90,89,88,85,94,86,36,32,40,,,,,,,,,False
74,J.J. Watt,1304010693,95,54,RE,80,95,79,84,93,81,87,94,85,92,90,94,86,94,91,93,58,73,54,44,44,44,69,55,68,65,56,58,76,67,78,77,73,48,44,45,44,46,45,61,61,93,,,,,,Yes,Yes,,False
75,Bo Jackson,27510,95,54,RG,94,93,94,95,93,74,94,96,86,62,40,25,25,40,40,30,25,25,25,64,51,77,93,87,91,93,90,93,90,68,70,63,71,80,73,67,54,84,73,90,93,93,,,,,,,,,True
76,Bo Jackson,27511,95,54,RT,94,93,94,95,93,74,94,96,86,62,40,25,25,40,40,30,25,25,25,64,51,77,93,87,91,93,90,93,90,68,70,63,71,80,73,67,54,84,73,90,93,93,,,,,,,,,True
77,Bo Jackson,27506,95,75,TE,94,93,94,95,93,88,94,96,86,62,40,25,25,40,40,30,25,25,25,64,51,77,93,87,91,93,90,93,90,87,90,81,91,80,73,67,54,84,73,76,80,74,Yes,No,No,No,No,,,,True
78,Brandon Graham,28543,95,53,LE,80,87,83,87,94,62,78,85,91,94,91,95,91,92,93,94,71,77,54,49,48,46,60,59,68,66,58,66,55,49,55,56,56,48,45,46,45,49,46,64,64,94,,,,,,Yes,Yes,,True
79,Willie McGinest,27594,95,52,LOLB,87,90,85,91,95,75,81,95,92,91,89,93,91,92,95,95,78,87,77,20,20,15,40,30,25,45,20,35,70,15,68,62,20,20,10,10,10,10,10,45,45,92,,,,,,No,Yes,Balanced,True
80,Cris Carter,27597,95,75,WR,92,77,93,92,91,95,95,95,94,35,12,10,10,10,10,40,38,38,25,27,19,37,60,88,75,78,92,92,74,94,92,93,93,27,15,10,10,10,10,66,57,64,Yes,Yes,Yes,Yes,Yes,,,,True
81,Rod Woodson,27598,95,69,CB,95,75,96,96,90,81,95,95,95,87,85,62,72,77,91,90,94,93,83,35,35,95,72,93,92,76,90,93,70,45,70,73,45,45,15,15,15,15,15,45,45,80,,,,,,Yes,No,Balanced,True
82,Bo Jackson,27503,95,80,HB,94,93,94,95,93,74,94,96,86,62,40,25,25,40,40,30,25,25,25,64,51,80,96,90,94,96,93,96,93,68,70,63,71,80,73,67,54,84,73,61,69,59,Yes,No,No,No,No,,,,True
83,Bo Jackson,27509,95,54,C,94,93,94,95,93,74,94,96,86,62,40,25,25,40,40,30,25,25,25,64,51,77,93,87,91,93,90,93,90,68,70,63,71,80,73,67,54,84,73,90,93,93,,,,,,,,,True
84,Bo Jackson,27505,95,69,WR,94,93,94,95,93,91,94,96,86,62,40,25,25,40,40,30,25,25,25,64,51,77,93,87,91,93,90,93,90,90,93,84,94,80,73,67,54,84,73,66,69,64,Yes,No,No,No,No,,,,True
85,Bo Jackson,27507,95,54,LT,94,93,94,95,93,74,94,96,86,62,40,25,25,40,40,30,25,25,25,64,51,77,93,87,91,93,90,93,90,68,70,63,71,80,73,67,54,84,73,90,93,93,,,,,,,,,True
86,Bo Jackson,27508,95,54,LG,94,93,94,95,93,74,94,96,86,62,40,25,25,40,40,30,25,25,25,64,51,77,93,87,91,93,90,93,90,68,70,63,71,80,73,67,54,84,73,90,93,93,,,,,,,,,True
87,Shannon Sharpe,21524,95,49,TE,88,86,88,92,92,95,88,94,96,56,33,20,20,46,53,20,20,20,20,20,20,36,89,81,90,94,80,84,87,94,96,90,93,25,20,20,15,15,15,83,68,76,Yes,No,No,No,Yes,,,,True
88,Mel Renfro,21532,95,62,CB,95,64,94,92,93,81,95,95,94,72,80,53,68,67,94,93,94,95,89,20,20,93,53,91,83,54,88,91,84,40,65,79,43,20,20,20,15,15,15,45,45,64,,,,,,Yes,Yes,Aggressive,True
89,Shannon Sharpe,21526,95,49,TE,88,86,88,92,92,95,88,94,96,56,33,20,20,46,53,20,20,20,20,20,20,36,89,81,90,94,80,84,87,94,96,90,93,25,20,20,15,15,15,83,68,76,Yes,No,No,No,Yes,,,,True
90,Shannon Sharpe,21525,95,49,TE,88,86,88,92,92,95,88,94,96,56,33,20,20,46,53,20,20,20,20,20,20,36,89,81,90,94,80,84,87,94,96,90,93,25,20,20,15,15,15,83,68,76,Yes,No,No,No,Yes,,,,True
91,Jonathan Ogden,21546,95,53,LT,60,95,67,78,93,28,53,92,95,56,63,20,20,25,25,25,20,20,15,20,20,15,43,22,15,34,23,21,42,21,32,18,15,20,20,20,15,15,15,95,94,91,,,,,,,,,True
92,Jonathan Ogden,21547,95,53,LT,60,95,67,78,93,28,53,92,95,56,63,20,20,25,25,25,20,20,15,20,20,15,43,22,15,34,23,21,42,21,32,18,15,20,20,20,15,15,15,95,94,91,,,,,,,,,True
93,Jonathan Ogden,21544,95,53,LT,60,95,67,78,93,28,53,92,95,56,63,20,20,25,25,25,20,20,15,20,20,15,43,22,15,34,23,21,42,21,32,18,15,20,20,20,15,15,15,95,94,91,,,,,,,,,True
94,Brian Urlacher,21514,95,49,MLB,87,86,89,93,95,76,87,95,89,95,95,84,76,87,96,95,81,88,80,20,20,15,52,50,67,80,58,72,68,25,70,68,35,20,15,15,15,15,15,45,45,88,,,,,,Yes,Yes,Conservative,True
95,Harold Carmichael,21505,95,73,WR,93,77,89,95,91,92,95,93,90,48,20,20,20,25,62,25,25,25,20,20,20,36,81,86,88,86,84,88,75,88,92,94,93,35,35,30,25,25,20,78,62,68,Yes,Yes,Yes,Yes,Yes,,,,True
96,Brian Urlacher,21513,95,49,MLB,87,86,89,93,95,76,87,95,89,95,95,84,76,87,96,95,81,88,80,20,20,15,52,50,67,80,58,72,68,25,70,68,35,20,15,15,15,15,15,45,45,88,,,,,,Yes,Yes,Conservative,True
97,Brian Urlacher,21512,95,49,MLB,87,86,89,93,95,76,87,95,89,95,95,84,76,87,96,95,81,88,80,20,20,15,52,50,67,80,58,72,68,25,70,68,35,20,15,15,15,15,15,45,45,88,,,,,,Yes,Yes,Conservative,True
98,Tony Gonzalez,26001,94,56,TE,86,80,85,89,95,95,91,94,95,58,25,20,20,20,50,20,25,25,25,20,20,28,87,86,88,78,82,90,82,93,94,93,92,30,15,10,5,10,5,81,71,76,Yes,Yes,Yes,Yes,Yes,,,,True
99,Ray Lewis,26023,94,51,MLB,88,91,85,91,93,65,78,94,94,95,94,93,80,95,95,93,74,83,70,17,23,10,58,46,65,84,50,60,64,15,63,58,25,14,5,5,5,5,5,45,45,92,,,,,,Yes,No,Balanced,True
100,Bruce Smith,21469,94,46,RE,84,94,78,89,92,58,77,95,94,88,87,95,93,89,90,92,39,48,36,20,20,15,62,33,46,86,73,42,50,15,45,43,15,25,25,20,20,15,15,45,45,88,,,,,,Yes,No,,True
101,Marvin Harrison,21462,94,63,WR,93,58,93,95,93,94,88,95,91,33,15,15,15,15,35,25,45,45,25,22,22,54,54,93,88,43,91,92,68,96,90,92,88,28,20,15,15,10,10,58,50,48,No,Yes,Yes,Yes,Yes,,,,True
102,Lawrence Taylor,21408,94,49,ROLB,88,92,86,92,90,76,86,95,94,94,95,94,90,92,95,90,74,79,73,25,25,25,73,60,62,86,65,63,78,20,73,67,12,40,5,5,5,5,5,45,45,95,,,,,,Yes,Yes,Balanced,True
103,Lawrence Taylor,21409,94,49,ROLB,88,92,86,92,90,76,86,95,94,94,95,94,90,92,95,90,74,79,73,25,25,25,73,60,62,86,65,63,78,20,73,67,12,40,5,5,5,5,5,45,45,95,,,,,,Yes,Yes,Balanced,True
104,Mike Adams,25126,94,50,SS,88,65,88,93,94,81,89,88,91,91,82,60,68,85,95,94,84,93,86,30,30,53,50,43,43,32,61,47,72,30,68,68,37,35,32,30,29,35,32,50,50,80,,,,,,No,Yes,Aggressive,True
105,Demaryius Thomas,25125,94,62,WR,90,77,93,91,90,89,93,89,89,46,37,33,33,54,56,38,34,40,37,36,40,73,84,78,89,91,84,86,75,89,91,92,94,69,56,52,46,56,47,78,62,75,No,Yes,Yes,Yes,Yes,,,,True
106,Von Miller,1304010737,94,53,LOLB,86,84,88,88,92,67,79,89,90,92,94,91,94,94,94,92,78,84,77,51,48,45,62,59,62,59,63,69,77,48,58,67,62,50,44,45,44,48,45,63,63,93,,,,,,No,Yes,Balanced,False
107,Brian Dawkins,27304,94,57,FS,93,73,92,93,92,78,92,94,92,84,93,66,84,85,94,92,76,91,84,20,20,46,68,78,72,66,83,87,65,15,66,62,25,20,20,20,15,15,15,45,45,74,,,,,,Yes,Yes,Aggressive,True
108,LaDainian Tomlinson,119,94,61,HB,91,76,93,93,92,84,90,94,94,25,15,15,15,15,35,35,35,35,15,35,35,77,78,93,92,94,91,90,92,85,78,69,80,60,72,60,46,74,45,50,73,58,Yes,No,No,No,No,,,,False
109,Carson Wentz,23131,94,59,QB,82,74,83,86,86,50,68,92,92,45,30,29,29,36,41,36,31,34,29,38,34,35,64,77,78,56,60,76,72,34,35,35,38,90,93,90,87,88,85,36,33,39,,,,,,,,,True
110,Chandler Jones,24445,94,46,LOLB,81,83,82,86,95,72,86,92,84,92,89,94,90,90,94,95,80,87,64,53,49,46,60,53,46,66,60,63,68,49,58,60,50,51,45,46,45,48,46,66,66,94,,,,,,No,Yes,Balanced,True
