,ACC,AGI,AWR,BCV,BKS,Blanket Coverage,CAR,CIT,CTH,ELU,FNM,Go Deep,IMP,INJ,JKM,JMP,KAC,KPW,KR,MCV,Move the Sticks,PAC,PBK,POW,PRC,PRS,PUR,PWM,Physical Front,Pick Specialist,Playmaker,Pound the Rock,RBK,RLS,RTE,Read and React,SFA,SPC,SPD,SPM,STA,STR,Secure Tackler,TAD,TAK,TAM,TAS,THP,TOR,TRK,Toughness,ZCV,id,ovr,player,pos,size
10,96.0,91.0,86.0,86.0,39.0,0.0,88.0,76.0,76.0,88.0,24.0,0.0,45.0,86.0,90.0,92.0,34.0,36.0,78.0,28.0,1.0,30.0,72.0,34.0,36.0,37.0,32.0,24.0,0.0,0.0,0.0,0.0,51.0,70.0,72.0,0.0,75.0,76.0,90.0,87.0,87.0,72.0,0.0,33.0,52.0,39.0,42.0,43.0,33.0,71.0,0.0,33.0,35011.0,90.0,Ameer Abdullah,HB,
11,91.0,88.0,83.0,68.0,85.0,1.0,73.0,72.0,74.0,59.0,83.0,0.0,77.0,90.0,63.0,88.0,37.0,37.0,60.0,77.0,0.0,33.0,53.0,85.0,83.0,65.0,91.0,75.0,0.0,0.0,0.0,0.0,48.0,54.0,55.0,0.0,56.0,72.0,90.0,54.0,87.0,80.0,0.0,32.0,84.0,33.0,32.0,40.0,35.0,61.0,0.0,77.0,35012.0,89.0,Haason Reddick,MLB,
12,92.0,89.0,86.0,56.0,70.0,0.0,62.0,61.0,71.0,48.0,69.0,0.0,73.0,91.0,53.0,85.0,37.0,37.0,49.0,80.0,0.0,31.0,49.0,75.0,86.0,79.0,86.0,52.0,0.0,0.0,0.0,0.0,49.0,42.0,39.0,1.0,44.0,62.0,87.0,55.0,88.0,64.0,0.0,30.0,81.0,31.0,30.0,39.0,32.0,45.0,0.0,88.0,35013.0,88.0,Daniel Sorensen,SS,
13,84.0,75.0,77.0,22.0,32.0,0.0,38.0,29.0,36.0,24.0,33.0,1.0,85.0,89.0,23.0,79.0,24.0,27.0,18.0,20.0,0.0,20.0,88.0,39.0,25.0,18.0,34.0,38.0,0.0,0.0,0.0,0.0,85.0,32.0,26.0,0.0,26.0,27.0,77.0,22.0,84.0,84.0,0.0,19.0,40.0,20.0,19.0,29.0,23.0,30.0,0.0,22.0,35014.0,87.0,Jason Spriggs,RT,
14,91.0,93.0,81.0,75.0,60.0,1.0,70.0,73.0,77.0,71.0,57.0,0.0,63.0,84.0,77.0,88.0,36.0,38.0,71.0,79.0,0.0,36.0,54.0,62.0,81.0,77.0,73.0,52.0,0.0,0.0,0.0,0.0,54.0,46.0,40.0,0.0,49.0,74.0,91.0,76.0,90.0,68.0,0.0,35.0,68.0,36.0,35.0,45.0,38.0,46.0,0.0,84.0,35015.0,86.0,Bobby McCain,CB,
15,86.0,70.0,79.0,18.0,26.0,0.0,34.0,16.0,35.0,20.0,14.0,0.0,86.0,88.0,20.0,82.0,21.0,20.0,11.0,14.0,0.0,13.0,80.0,24.0,19.0,11.0,28.0,16.0,0.0,0.0,0.0,1.0,84.0,19.0,17.0,0.0,29.0,17.0,72.0,17.0,84.0,88.0,0.0,12.0,36.0,13.0,12.0,21.0,16.0,28.0,0.0,17.0,35016.0,85.0,Connor McGovern,RG,
16,95.0,90.0,74.0,78.0,61.0,0.0,68.0,65.0,72.0,83.0,56.0,0.0,66.0,85.0,85.0,88.0,34.0,34.0,84.0,73.0,0.0,40.0,47.0,78.0,74.0,76.0,77.0,50.0,1.0,0.0,0.0,0.0,47.0,53.0,51.0,0.0,62.0,67.0,91.0,80.0,90.0,74.0,0.0,37.0,78.0,40.0,41.0,41.0,48.0,58.0,0.0,79.0,35017.0,84.0,Jabrill Peppers,FS,
17,87.0,77.0,74.0,74.0,57.0,0.0,74.0,74.0,77.0,60.0,48.0,0.0,72.0,80.0,70.0,85.0,36.0,37.0,44.0,41.0,0.0,42.0,70.0,60.0,47.0,42.0,60.0,51.0,0.0,0.0,0.0,0.0,71.0,73.0,72.0,0.0,70.0,78.0,84.0,72.0,85.0,87.0,0.0,48.0,55.0,49.0,49.0,48.0,53.0,74.0,1.0,48.0,35018.0,83.0,Vance McDonald,TE,
18,95.0,91.0,91.0,81.0,41.0,0.0,82.0,92.0,95.0,88.0,38.0,1.0,78.0,88.0,83.0,90.0,31.0,35.0,62.0,35.0,0.0,35.0,76.0,38.0,37.0,35.0,42.0,34.0,0.0,0.0,1.0,0.0,82.0,90.0,95.0,0.0,80.0,95.0,93.0,76.0,88.0,75.0,0.0,32.0,52.0,35.0,37.0,38.0,42.0,83.0,0.0,40.0,35019.0,96.0,Evan Engram,TE,"Ht: 6' 3"" Wt: 233"
19,92.0,88.0,88.0,78.0,41.0,0.0,80.0,88.0,92.0,85.0,38.0,1.0,75.0,86.0,79.0,88.0,31.0,35.0,60.0,35.0,0.0,35.0,72.0,38.0,37.0,35.0,42.0,34.0,0.0,0.0,0.0,0.0,78.0,87.0,92.0,0.0,77.0,92.0,90.0,72.0,86.0,72.0,0.0,32.0,51.0,35.0,37.0,38.0,42.0,80.0,0.0,40.0,35020.0,92.0,Evan Engram,TE,
20,89.0,85.0,85.0,75.0,41.0,0.0,80.0,84.0,88.0,82.0,38.0,1.0,72.0,84.0,75.0,85.0,31.0,35.0,60.0,35.0,0.0,35.0,68.0,38.0,37.0,35.0,42.0,34.0,0.0,0.0,0.0,0.0,74.0,83.0,88.0,0.0,74.0,88.0,87.0,69.0,84.0,69.0,0.0,32.0,50.0,35.0,37.0,38.0,42.0,77.0,0.0,40.0,35021.0,88.0,Evan Engram,TE,
21,86.0,82.0,82.0,72.0,41.0,0.0,80.0,80.0,84.0,79.0,38.0,1.0,69.0,82.0,71.0,82.0,31.0,35.0,60.0,35.0,0.0,35.0,64.0,38.0,37.0,35.0,42.0,34.0,0.0,0.0,0.0,0.0,70.0,79.0,84.0,0.0,71.0,84.0,84.0,66.0,82.0,66.0,0.0,32.0,49.0,35.0,37.0,38.0,42.0,74.0,0.0,40.0,35022.0,84.0,Evan Engram,TE,
22,86.0,77.0,92.0,61.0,93.0,0.0,66.0,56.0,64.0,53.0,79.0,0.0,95.0,93.0,51.0,82.0,51.0,53.0,47.0,55.0,0.0,47.0,64.0,92.0,92.0,54.0,92.0,92.0,0.0,0.0,0.0,0.0,75.0,51.0,50.0,0.0,56.0,56.0,77.0,49.0,93.0,97.0,1.0,51.0,93.0,54.0,55.0,56.0,49.0,72.0,1.0,60.0,35023.0,96.0,Dontari Poe,DT,"Ht: 6' 3"" Wt: 346"
23,83.0,74.0,88.0,61.0,88.0,0.0,65.0,55.0,63.0,53.0,75.0,0.0,92.0,91.0,51.0,79.0,51.0,53.0,47.0,53.0,0.0,47.0,64.0,89.0,88.0,52.0,88.0,88.0,0.0,0.0,0.0,0.0,75.0,51.0,50.0,0.0,56.0,55.0,74.0,49.0,91.0,95.0,0.0,51.0,90.0,54.0,55.0,56.0,49.0,72.0,1.0,58.0,35024.0,92.0,Dontari Poe,DT,
24,80.0,71.0,85.0,61.0,84.0,0.0,64.0,54.0,62.0,53.0,71.0,0.0,89.0,89.0,51.0,76.0,51.0,53.0,47.0,51.0,0.0,47.0,64.0,86.0,85.0,50.0,84.0,84.0,0.0,0.0,0.0,0.0,75.0,51.0,50.0,0.0,56.0,54.0,71.0,49.0,89.0,93.0,0.0,51.0,87.0,54.0,55.0,56.0,49.0,72.0,1.0,56.0,35025.0,88.0,Dontari Poe,DT,
25,77.0,68.0,82.0,61.0,80.0,0.0,63.0,53.0,61.0,53.0,67.0,0.0,86.0,87.0,51.0,73.0,51.0,53.0,47.0,49.0,0.0,47.0,64.0,83.0,82.0,48.0,80.0,79.0,0.0,0.0,0.0,0.0,75.0,51.0,50.0,0.0,56.0,53.0,68.0,49.0,87.0,90.0,0.0,51.0,84.0,54.0,55.0,56.0,49.0,72.0,1.0,54.0,35026.0,84.0,Dontari Poe,DT,
26,92.0,85.0,89.0,50.0,94.0,0.0,64.0,58.0,66.0,48.0,88.0,0.0,90.0,91.0,48.0,95.0,43.0,43.0,37.0,69.0,0.0,38.0,53.0,88.0,89.0,64.0,92.0,94.0,0.0,0.0,0.0,0.0,53.0,51.0,39.0,0.0,53.0,58.0,86.0,51.0,88.0,96.0,0.0,37.0,88.0,38.0,37.0,43.0,40.0,48.0,1.0,71.0,35027.0,96.0,Myles Garrett,RE,"Ht: 6' 5"" Wt: 262"
27,89.0,82.0,85.0,50.0,90.0,0.0,63.0,57.0,65.0,48.0,84.0,0.0,87.0,89.0,48.0,92.0,43.0,43.0,37.0,67.0,0.0,38.0,53.0,85.0,85.0,62.0,88.0,90.0,0.0,0.0,0.0,0.0,53.0,51.0,39.0,0.0,53.0,57.0,83.0,51.0,86.0,93.0,0.0,37.0,84.0,38.0,37.0,43.0,40.0,48.0,1.0,69.0,35028.0,92.0,Myles Garrett,RE,
28,86.0,79.0,81.0,50.0,86.0,0.0,62.0,56.0,64.0,48.0,80.0,0.0,84.0,87.0,48.0,89.0,43.0,43.0,37.0,65.0,0.0,38.0,53.0,82.0,81.0,60.0,84.0,86.0,0.0,0.0,0.0,0.0,53.0,51.0,39.0,0.0,53.0,56.0,80.0,51.0,84.0,90.0,0.0,37.0,80.0,38.0,37.0,43.0,40.0,48.0,1.0,67.0,35029.0,88.0,Myles Garrett,RE,
29,83.0,76.0,77.0,50.0,82.0,0.0,61.0,55.0,63.0,48.0,76.0,0.0,81.0,85.0,48.0,86.0,43.0,43.0,37.0,63.0,0.0,38.0,53.0,79.0,77.0,58.0,80.0,82.0,0.0,0.0,0.0,0.0,53.0,51.0,39.0,0.0,53.0,55.0,77.0,51.0,82.0,87.0,0.0,37.0,76.0,38.0,37.0,43.0,40.0,48.0,1.0,65.0,35030.0,84.0,Myles Garrett,RE,
30,94.0,95.0,93.0,60.0,78.0,0.0,68.0,70.0,78.0,67.0,64.0,0.0,75.0,91.0,76.0,98.0,35.0,37.0,67.0,89.0,0.0,26.0,52.0,84.0,93.0,92.0,95.0,50.0,0.0,0.0,0.0,0.0,52.0,53.0,39.0,1.0,49.0,70.0,93.0,74.0,91.0,72.0,0.0,26.0,83.0,26.0,26.0,54.0,29.0,45.0,0.0,94.0,35031.0,96.0,Byron Jones,FS,"Ht: 6' 1"" Wt: 199"
31,91.0,92.0,89.0,60.0,74.0,0.0,66.0,67.0,75.0,67.0,60.0,0.0,72.0,89.0,76.0,95.0,35.0,37.0,67.0,86.0,0.0,26.0,52.0,80.0,89.0,89.0,91.0,50.0,0.0,0.0,0.0,0.0,52.0,53.0,39.0,1.0,49.0,67.0,90.0,74.0,89.0,68.0,0.0,26.0,79.0,26.0,26.0,54.0,29.0,45.0,0.0,91.0,35032.0,92.0,Byron Jones,FS,
32,88.0,89.0,85.0,60.0,70.0,0.0,65.0,64.0,72.0,67.0,56.0,0.0,69.0,87.0,76.0,92.0,35.0,37.0,67.0,83.0,0.0,26.0,52.0,76.0,85.0,86.0,87.0,50.0,0.0,0.0,0.0,0.0,52.0,53.0,39.0,1.0,49.0,64.0,87.0,74.0,87.0,65.0,0.0,26.0,75.0,26.0,26.0,54.0,29.0,45.0,0.0,88.0,35033.0,88.0,Byron Jones,FS,
33,84.0,86.0,80.0,60.0,66.0,0.0,64.0,61.0,69.0,67.0,52.0,0.0,66.0,85.0,76.0,89.0,35.0,37.0,67.0,80.0,0.0,26.0,52.0,72.0,80.0,83.0,83.0,50.0,0.0,0.0,0.0,0.0,52.0,53.0,39.0,1.0,49.0,61.0,83.0,74.0,85.0,62.0,0.0,26.0,70.0,26.0,26.0,54.0,29.0,45.0,0.0,85.0,35034.0,84.0,Byron Jones,FS,
34,97.0,97.0,88.0,91.0,44.0,0.0,91.0,87.0,88.0,92.0,33.0,1.0,63.0,90.0,95.0,92.0,40.0,43.0,86.0,34.0,0.0,43.0,70.0,41.0,42.0,36.0,49.0,33.0,0.0,0.0,0.0,0.0,58.0,86.0,91.0,0.0,82.0,87.0,93.0,91.0,88.0,75.0,0.0,44.0,50.0,47.0,48.0,49.0,54.0,73.0,0.0,36.0,35035.0,96.0,Christian McCaffrey,HB,"Ht: 6' 0"" Wt: 200"
35,94.0,94.0,84.0,87.0,44.0,0.0,87.0,83.0,84.0,88.0,33.0,1.0,61.0,88.0,90.0,89.0,40.0,43.0,83.0,34.0,0.0,43.0,68.0,41.0,42.0,36.0,49.0,33.0,0.0,0.0,0.0,0.0,56.0,82.0,87.0,0.0,78.0,83.0,90.0,86.0,86.0,72.0,0.0,44.0,49.0,47.0,48.0,49.0,54.0,69.0,0.0,36.0,35036.0,92.0,Christian McCaffrey,HB,
36,91.0,91.0,80.0,83.0,44.0,0.0,83.0,79.0,80.0,84.0,33.0,1.0,59.0,86.0,86.0,86.0,40.0,43.0,80.0,34.0,0.0,43.0,66.0,41.0,42.0,36.0,49.0,33.0,0.0,0.0,0.0,0.0,54.0,78.0,83.0,0.0,75.0,79.0,87.0,82.0,84.0,69.0,0.0,44.0,48.0,47.0,48.0,49.0,54.0,65.0,0.0,36.0,35037.0,88.0,Christian McCaffrey,HB,
37,88.0,88.0,76.0,79.0,44.0,0.0,79.0,75.0,76.0,80.0,33.0,1.0,57.0,84.0,82.0,83.0,40.0,43.0,77.0,34.0,0.0,43.0,64.0,41.0,42.0,36.0,49.0,33.0,0.0,0.0,0.0,0.0,52.0,74.0,79.0,0.0,72.0,75.0,84.0,78.0,82.0,66.0,0.0,44.0,47.0,47.0,48.0,49.0,54.0,61.0,0.0,36.0,35038.0,84.0,Christian McCaffrey,HB,
38,94.0,96.0,94.0,91.0,48.0,0.0,76.0,93.0,93.0,94.0,35.0,1.0,61.0,92.0,93.0,89.0,40.0,41.0,90.0,39.0,0.0,36.0,56.0,38.0,43.0,35.0,49.0,35.0,0.0,0.0,1.0,0.0,74.0,92.0,94.0,0.0,64.0,94.0,96.0,92.0,92.0,55.0,0.0,35.0,49.0,37.0,39.0,49.0,39.0,62.0,0.0,44.0,35039.0,96.0,Brandin Cooks,WR,"Ht: 5' 10"" Wt: 189"
39,91.0,93.0,90.0,88.0,48.0,0.0,74.0,89.0,89.0,91.0,35.0,1.0,59.0,90.0,90.0,86.0,40.0,41.0,87.0,39.0,0.0,36.0,54.0,38.0,43.0,35.0,49.0,35.0,0.0,0.0,0.0,0.0,72.0,88.0,90.0,0.0,61.0,90.0,93.0,89.0,90.0,52.0,0.0,35.0,48.0,37.0,39.0,49.0,39.0,59.0,0.0,44.0,35040.0,92.0,Brandin Cooks,WR,
40,88.0,90.0,86.0,85.0,48.0,0.0,72.0,85.0,85.0,88.0,35.0,1.0,57.0,88.0,87.0,83.0,40.0,41.0,84.0,39.0,0.0,36.0,52.0,38.0,43.0,35.0,49.0,35.0,0.0,0.0,0.0,0.0,70.0,84.0,86.0,0.0,58.0,86.0,90.0,86.0,88.0,49.0,0.0,35.0,47.0,37.0,39.0,49.0,39.0,56.0,0.0,44.0,35041.0,88.0,Brandin Cooks,WR,
41,85.0,87.0,82.0,82.0,48.0,0.0,70.0,81.0,81.0,85.0,35.0,1.0,55.0,86.0,84.0,80.0,40.0,41.0,81.0,39.0,0.0,36.0,50.0,38.0,43.0,35.0,49.0,35.0,0.0,0.0,0.0,0.0,68.0,79.0,81.0,0.0,55.0,81.0,87.0,83.0,86.0,46.0,0.0,35.0,46.0,37.0,39.0,49.0,39.0,53.0,0.0,44.0,35042.0,84.0,Brandin Cooks,WR,
