,ACC,AGI,AWR,BCV,BKS,Blanket Coverage,CAR,CIT,CTH,ELU,FNM,Go Deep,IMP,INJ,JKM,JMP,KAC,KPW,KR,MCV,Move the Sticks,PAC,PBK,POW,PRC,PRS,PUR,PWM,Physical Front,Pick Specialist,Playmaker,Pound the Rock,RBK,RLS,RTE,Read and React,SFA,SPC,SPD,SPM,STA,STR,Secure Tackler,TAD,TAK,TAM,TAS,THP,TOR,TRK,Toughness,ZCV,id,ovr,player,pos,size
10,95,90,93,61,86,0,65,62,68,63,78,0,94,92,68,83,20,20,52,80,0,15,45,94,93,76,95,74,1,0,0,0,45,20,15,0,82,60,91,56,95,83,0,15,93,20,20,30,15,68,0,93,31020,95,Rodney Harrison,SS,"Ht: 6' 1"" Wt: 220"
11,59,56,86,53,10,0,58,32,40,61,10,0,25,88,55,52,25,25,18,25,1,85,25,42,30,25,23,10,0,0,0,0,25,30,30,0,37,36,61,55,95,55,0,83,30,86,86,83,74,48,0,25,31021,85,Kurt Warner,QB,"Ht: 6' 2"" Wt: 214"
12,89,86,83,83,25,0,85,64,66,80,25,0,57,84,81,82,25,25,60,45,0,23,65,56,42,36,58,25,0,0,0,1,50,60,62,0,79,59,86,80,88,74,0,30,52,34,38,46,46,83,0,38,31022,85,Terrell Davis,HB,"Ht: 5' 11"" Wt: 211"
13,86,79,82,84,35,0,83,82,75,58,25,0,75,87,77,85,25,25,40,20,0,28,67,48,25,25,40,25,0,0,0,0,75,68,73,0,84,80,82,82,86,83,0,40,52,44,46,45,43,83,1,25,31023,85,Franco Harris,FB,"Ht: 6' 2"" Wt: 230"
14,87,87,82,82,28,0,73,78,84,84,38,1,50,88,81,89,20,20,77,75,0,20,42,40,64,63,76,26,0,0,0,0,54,77,84,0,68,80,89,80,86,56,0,20,42,25,25,25,20,57,0,72,31024,85,Paul Warfield,WR,"Ht: 6' 0"" Wt: 198"
15,72,69,85,15,20,0,37,15,37,15,15,0,84,86,15,52,20,20,15,20,0,10,82,50,25,15,45,15,0,0,0,1,86,15,15,0,15,15,65,15,84,83,0,10,46,10,10,35,10,15,0,20,31025,85,Larry Little,RG,"Ht: 6' 1"" Wt: 265"
16,82,78,84,38,85,0,56,57,60,36,77,0,86,87,36,84,20,20,35,68,0,15,45,85,84,62,81,85,1,0,0,0,45,20,25,0,68,50,78,34,86,88,0,20,85,25,25,25,15,72,0,74,31026,85,Ted Hendricks,LOLB,"Ht: 6' 7"" Wt: 220"
17,86,78,84,56,77,0,55,67,68,48,60,0,76,88,56,82,20,20,36,72,0,20,45,85,84,71,83,64,0,0,0,0,45,20,25,1,64,66,82,36,87,82,0,20,85,25,25,25,20,66,0,80,31027,85,Willie Lanier,MLB,"Ht: 6' 1"" Wt: 245"
18,87,84,82,32,85,0,63,48,60,30,80,0,85,82,68,83,20,20,15,62,0,15,45,86,82,61,87,86,0,0,0,0,45,35,15,0,58,53,83,52,86,88,0,15,84,15,15,20,15,56,1,70,31028,85,DeMarcus Ware,ROLB,"Ht: 6' 4"" Wt: 258"
19,89,85,84,78,60,1,62,62,68,84,49,0,70,87,71,86,25,25,74,83,0,20,45,74,84,81,81,59,0,0,0,0,45,25,28,0,68,57,87,62,88,60,0,20,74,25,25,25,20,48,0,81,31029,85,Willie Brown,CB,"Ht: 6' 1"" Wt: 195"
20,88,83,84,61,74,0,56,54,58,63,65,0,85,84,68,76,20,20,52,72,0,15,45,84,84,67,84,63,1,0,0,0,45,20,15,0,82,52,84,56,88,77,0,15,83,20,20,30,15,68,0,85,31030,85,Rodney Harrison,SS,"Ht: 6' 1"" Wt: 220"
21,78,72,94,30,28,0,52,42,46,32,15,1,92,90,22,72,20,20,15,20,0,20,96,56,20,20,23,15,0,0,0,0,92,20,25,0,56,28,68,22,94,95,0,20,62,25,25,25,20,48,0,20,31031,96,Orlando Pace,LT,"Ht: 6' 7"" Wt: 325"
22,94,94,94,72,76,0,70,74,78,76,67,0,72,94,78,88,20,20,38,86,0,20,45,93,94,81,96,48,0,1,0,0,45,30,45,1,54,72,93,71,94,75,0,20,85,25,25,25,20,48,0,94,31032,96,Cliff Harris,FS,"Ht: 6' 1"" Wt: 188"
23,90,81,95,50,94,1,58,56,63,35,88,0,94,94,30,80,20,20,15,40,0,10,45,88,95,40,91,96,0,0,0,0,45,20,15,0,75,46,84,35,95,95,0,10,94,10,10,25,10,65,0,45,31033,96,Reggie White,LE,"Ht: 6' 5"" Wt: 291"
24,87,77,94,73,96,0,56,59,62,44,75,0,96,95,56,78,20,20,20,38,0,15,45,95,94,40,90,95,1,0,0,0,45,15,15,0,89,52,79,52,93,96,1,15,96,20,20,20,15,76,0,45,31034,97,Mean Joe Greene,DT,"Ht: 6' 4"" Wt: 275"
25,95,97,94,86,29,0,76,95,96,93,10,0,68,95,95,90,30,30,78,25,1,15,55,15,32,15,35,10,0,0,1,0,72,91,97,0,75,92,94,91,95,75,0,15,48,20,25,60,15,72,0,35,31035,97,Jerry Rice,WR,"Ht: 6' 2"" Wt: 200"
26,92,92,93,88,57,0,78,91,93,88,42,0,60,86,87,84,40,41,86,55,1,67,52,42,45,54,66,42,0,0,0,0,76,89,94,0,78,88,89,80,92,61,0,62,58,66,66,75,81,74,0,59,31036,93,Julian Edelman,WR,
27,87,81,93,46,92,0,58,64,80,36,83,0,88,85,52,83,47,51,35,77,0,35,56,88,93,68,95,89,0,0,0,0,56,51,37,1,52,63,82,42,90,74,0,34,95,35,34,40,36,46,0,86,31037,93,Danny Trevathan,MLB,
28,92,90,89,56,68,1,66,65,81,66,58,0,68,88,72,92,38,39,56,92,0,35,55,66,89,90,84,50,0,0,0,0,55,39,39,0,36,65,93,71,90,70,0,34,75,35,34,43,36,34,0,86,31038,92,Ronald Darby,CB,
29,93,83,92,75,80,0,69,66,82,53,75,0,80,92,68,89,52,57,68,79,0,38,57,90,92,82,91,67,0,0,0,0,57,46,43,1,49,66,87,60,93,67,0,38,84,38,38,49,40,46,0,89,31039,92,Patrick Chung,SS,
30,89,85,89,80,64,0,77,90,88,72,29,1,73,86,89,90,30,32,54,30,0,30,72,38,32,38,60,29,0,0,0,0,72,89,85,0,88,87,88,88,80,82,0,29,60,32,33,38,33,87,0,30,31040,91,Vernon Davis,TE,
31,85,66,89,27,87,0,48,36,45,25,77,0,88,86,23,81,36,36,23,41,0,23,50,87,89,35,89,90,0,0,0,0,50,31,27,1,42,36,70,23,74,89,0,23,88,23,23,37,26,32,0,46,31041,91,Grady Jarrett,DT,
32,92,94,87,90,39,0,90,73,80,93,34,1,51,84,94,79,37,39,90,34,0,39,63,35,43,34,50,34,0,0,0,0,51,70,75,0,77,71,91,91,89,61,0,41,46,46,48,49,54,70,0,39,31042,90,Dion Lewis,HB,
33,80,66,88,18,22,0,43,25,32,22,18,0,92,90,18,40,35,34,18,15,0,18,90,25,23,18,31,18,0,0,0,1,88,32,25,0,18,29,63,18,84,86,0,17,41,18,17,34,21,18,0,20,31043,90,Stefen Wisniewski,LG,
34,75,64,89,66,38,0,68,29,46,63,29,1,41,90,62,55,38,38,34,32,0,79,32,31,32,29,41,29,0,0,0,0,35,33,29,0,64,31,70,46,92,70,0,80,45,80,83,94,81,52,0,35,31044,89,Joe Flacco,QB,
35,90,82,85,57,78,0,63,56,72,49,62,0,78,87,65,85,32,39,63,75,0,35,51,92,85,80,89,69,0,0,0,0,51,38,32,0,49,52,87,63,93,75,0,31,83,31,34,34,37,48,1,85,31045,89,T.J. Ward,SS,
36,93,88,83,74,61,0,74,83,83,74,53,0,63,92,76,92,56,55,65,54,0,54,62,53,56,53,58,53,0,0,0,1,70,83,81,0,70,83,90,76,88,60,0,53,62,55,56,58,56,68,0,56,31046,87,Jermaine Kearse,WR,
37,86,83,86,64,82,0,70,61,75,53,77,0,86,90,60,89,48,47,45,75,0,56,63,85,86,64,86,84,0,0,0,0,63,60,48,1,61,62,83,63,86,69,0,64,85,66,67,64,72,63,0,81,31047,87,Jamie Collins Sr,MLB,
38,91,88,85,62,72,0,68,52,72,64,67,0,66,86,63,89,35,35,68,74,0,31,53,81,85,77,80,62,0,0,0,0,53,42,33,0,52,53,86,66,84,60,0,30,78,31,30,36,32,54,1,83,31048,86,Rodney McLeod Jr.,FS,
39,89,83,83,58,85,0,68,71,76,49,73,0,81,85,55,82,40,42,32,70,0,33,52,79,83,69,85,82,0,0,0,0,52,43,35,1,54,56,82,49,90,70,0,32,86,33,32,38,35,52,0,78,31049,86,Kyle Van Noy,ROLB,
40,91,87,78,74,33,0,70,79,82,73,27,1,55,85,77,91,33,34,65,30,0,27,53,29,32,30,38,27,0,0,0,0,65,78,78,0,73,84,90,74,88,67,0,27,46,30,31,36,32,55,0,34,31050,85,Malcolm Mitchell,WR,
41,86,86,84,28,79,0,50,53,58,34,77,0,81,89,30,79,24,24,21,50,0,22,40,77,84,40,80,83,0,0,0,0,40,26,21,1,32,51,77,40,81,84,0,21,80,22,21,24,25,30,0,60,31051,85,Kony Ealy,LE,
42,87,76,82,70,47,0,70,80,82,60,37,0,77,84,69,84,43,44,45,32,1,32,68,40,33,40,47,37,0,0,0,0,67,76,76,0,74,80,79,70,86,87,0,31,49,34,36,45,36,75,0,34,31052,84,Dwayne Allen,TE,
43,82,71,80,35,47,0,35,28,38,29,47,0,82,88,37,70,26,29,23,23,1,23,82,67,39,23,36,54,0,0,0,0,82,29,23,0,40,31,66,32,84,83,0,23,48,23,23,35,26,38,0,25,31053,84,Hal Vaitai,LT,
44,91,89,71,67,35,0,68,82,78,68,20,1,55,86,71,93,23,27,45,22,0,21,48,22,23,22,35,20,0,0,0,0,55,77,70,0,70,85,89,72,85,72,0,20,45,23,25,25,25,56,0,27,31054,83,Chris Matthews,WR,
45,85,73,82,35,86,0,48,48,52,31,75,0,82,94,30,78,29,29,27,60,0,27,46,84,82,45,85,84,1,0,0,0,46,37,29,0,42,45,80,31,80,82,0,26,83,27,26,38,29,50,0,64,31055,83,Courtney Upshaw,LOLB,
